Dataset,Holding_Days,Method,Display,trading_days,rebalances,final_nav,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,avg_drawdown,max_drawdown_days,drawdown_recovery_days,drawdown_count,max_drawdown_duration_pct,downside_deviation,ulcer_index,mean_daily_return,best_day,worst_day,positive_day_ratio,gain_loss_ratio,profit_factor,daily_var_95,daily_cvar_95,daily_var_99,daily_cvar_99,worst_5_percent_avg
us_financials,30,BL,BL,210,7,1.3621828483133394,0.3621828483133393,0.4490470569766784,0.2903295733331829,1.4237145853540454,2.0102661721914874,2.4090774596357805,-0.1863979321962392,-0.0339126740275967,46,25,18,0.219047619047619,0.2056177703390694,0.1863979321962392,0.0016402636829923,0.1064473517050357,-0.0953193369407493,0.5904761904761905,0.9122706203401544,1.3153669409555715,-0.0254406189263754,-0.0451319383129333,-0.0511778186702016,-0.0736656223279904,-0.0470515730980715
us_financials,30,MVO,MVO,210,7,1.2148050504467605,0.2148050504467604,0.263013249653611,0.2537451419144247,1.0477905717933962,1.4257540723753792,1.5067936745601394,-0.1745516019174884,-0.0323003399099261,35,28,18,0.1666666666666666,0.1864779995987356,0.1745516019174884,0.001055046695779,0.0936203825512432,-0.0818196407412389,0.6095238095238096,0.7853597966647833,1.2259274874767347,-0.0233691771259859,-0.041122928801338,-0.0465046377222879,-0.0677568152878141,-0.0428485260905582
us_financials,30,EW,EW,210,7,1.2392293648014066,0.2392293648014065,0.2935464698988586,0.2232226511471088,1.2654245145180534,1.7406886132207304,1.9408115141377729,-0.1512493448026919,-0.0264778888155064,32,23,17,0.1523809523809524,0.1622756722896099,0.1512493448026919,0.0011209183133224,0.0803934835516356,-0.0721590063467793,0.580952380952381,0.9236154205180664,1.2804668329909557,-0.0196968420695455,-0.0353251913371455,-0.0408040873911631,-0.0607029441583255,-0.0368366184215458
us_financials,30,BLM_LLM__gpt_oss_20b,LLM-BLM (GPT-OSS-20B),210,7,1.3037842641193074,0.3037842641193073,0.3748232945829217,0.2119065690669863,1.6086270497278785,2.3612021491924797,2.897650377136563,-0.1293542166233731,-0.0270276030656123,52,17,19,0.2476190476190476,0.1443665630800658,0.1293542166233731,0.0013526930119689,0.0791528134360784,-0.0672464837183577,0.5761904761904761,0.9933107311251346,1.3504561625409135,-0.0182655249161907,-0.0306891421891139,-0.0341849639228698,-0.0507804756744212,-0.0318986373524296
us_financials,30,RelViewBL__gpt_oss_20b,PairBL (GPT-OSS-20B),210,7,1.3288025595699882,0.3288025595699881,0.4065414891302428,0.2832835458777666,1.3470088025955542,1.8796977790498368,2.188568744658464,-0.1857567828849193,-0.0347135954528384,46,25,16,0.219047619047619,0.2030036073781603,0.1857567828849193,0.001514227896539,0.1009858100960145,-0.0965870807934985,0.5952380952380952,0.8838127122418226,1.2997245768262098,-0.0248771800889198,-0.0442579360774516,-0.0524319932691832,-0.074054529325761,-0.0461830617935486
us_financials,60,BL,BL,180,3,1.1912977724164322,0.1912977724164322,0.2776987255052634,0.3053369682489616,0.9556416148840996,1.328719429045842,1.4898165566177148,-0.1863979321962392,-0.0355339420129192,46,25,14,0.2555555555555555,0.219604460537459,0.1863979321962392,0.0011579075929414,0.1064473517050357,-0.0953193369407493,0.5777777777777777,0.8799229752050192,1.2041051239647629,-0.0270117272250585,-0.0491672019091996,-0.0560925835054791,-0.0848947247019834,-0.0491672019091996
us_financials,60,MVO,MVO,180,3,1.1221151871090034,0.1221151871090033,0.1750393657419364,0.270636520807383,0.7316655625745234,0.990824353846612,1.0027943818280087,-0.1745516019174884,-0.0323389331602591,32,25,13,0.1777777777777777,0.1998491674947264,0.1745516019174884,0.000785775485118,0.0936203825512432,-0.0818196407412389,0.5833333333333334,0.8244110360791503,1.1541754505108104,-0.0260565311397974,-0.0447493606076684,-0.0525262953270151,-0.0783407175426243,-0.0447493606076684
us_financials,60,EW,EW,180,3,1.1200139922995278,0.1200139922995278,0.1719601040881049,0.2351929763379382,0.7925980627516169,1.0718726104692184,1.1369312330736416,-0.1512493448026919,-0.027908408452721,32,23,14,0.1777777777777777,0.1739138546852439,0.1512493448026919,0.000739736100866,0.0803934835516356,-0.0721590063467793,0.5722222222222222,0.8735956654175967,1.1685760199741877,-0.0206106950961771,-0.0386473991205521,-0.0469940382680384,-0.0704470241848011,-0.0386473991205521
us_financials,60,BLM_LLM__gpt_oss_20b,LLM-BLM (GPT-OSS-20B),180,3,1.0890081028914171,0.0890081028914171,0.1267914830159233,0.2664569960013693,0.5810463932536731,0.7992199858310924,0.7564145981919173,-0.167621676417929,-0.0310740755678661,35,25,9,0.1944444444444444,0.193718724792406,0.167621676417929,0.0006143804622373,0.1007418028947273,-0.0839112028421515,0.5666666666666667,0.860152521293195,1.124814835537255,-0.0242604663117609,-0.0436233818902909,-0.0500752666033683,-0.0775041007200855,-0.0436233818902909
us_financials,60,RelViewBL__gpt_oss_20b,PairBL (GPT-OSS-20B),180,3,1.206428524654076,0.206428524654076,0.3004756828283557,0.2938149097950694,1.0417236242936876,1.4368114523072115,1.6823054280093854,-0.1786094711611899,-0.0346378864042526,32,25,18,0.1777777777777777,0.2130230325014137,0.1786094711611899,0.0012145790980287,0.099764538141844,-0.0906498425614661,0.6,0.8154599317855981,1.223189897678397,-0.0262447842434454,-0.0477685707554527,-0.0573610497255751,-0.0819096456788968,-0.0477685707554527
